iter	Passed	Remaining
0	1	113
1	2	106
2	3	104
3	4	97
4	5	97
5	6	96
6	7	96
7	8	95
8	9	95
9	10	93
10	11	93
11	12	92
12	13	90
13	14	89
14	15	88
15	16	87
16	17	86
17	18	84
18	19	83
19	20	83
20	21	81
21	22	80
22	23	79
23	24	78
24	25	77
25	26	76
26	27	75
27	29	74
28	30	73
29	31	72
30	32	71
31	32	70
32	33	68
33	34	67
34	36	66
35	37	65
36	38	64
37	39	63
38	40	62
39	41	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	54
47	48	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	102	0
